AKUN/DESKRIPSI,TANGGAL,DESKRIPSI KEGIATAN,REALISASI (RP)
612401102/BEBAN FOTOCOPY,17/01/2023,PEMB. JILID & LAMINATING LAPORAN KEUANGAN TJSL & REKAP ABSEN KARYAWAN,44000
612401102/BEBAN FOTOCOPY,18/01/2023,PEMB. JILID & LAMINATING LAPORAN KEUANGAN UNIT DEPOK & KC BOGOR ,46000
612403103/RUMAH TANGGA,31/12/2022,PEMB. AQUA GALON AIR MINUM KARYAWAN UNIT DEPOK,513001
612403103/RUMAH TANGGA,12/01/2023,PEMB. MASKER DUCKBIL MOUSON,30000
"612414101/BBM,TOL,PARKIR",08/12/2022,BBM MOTOR DINAS ,30000
"612414101/BBM,TOL,PARKIR",21/12/2022,BBM MOTOR DINAS ,17630
"612414101/BBM,TOL,PARKIR",05/01/2023,BBM MOTOR DINAS ,15000
"612414101/BBM,TOL,PARKIR",10/01/2023,BBM MOTOR DINAS ,33400
"612414101/BBM,TOL,PARKIR",06/01/2023,BBM MOBIL DINAS ,450000
"612414101/BBM,TOL,PARKIR",11/01/2023,E- TOLL MOBIL DINAS  ,33500
"612414101/BBM,TOL,PARKIR",19/01/2023,E- TOLL MOBIL DINAS  ,5000
612408103/PEMELIHARAAN/PERBAIKAN KENDARAAAN,09/01/2023,PEMBY.TAMBAL BAN & ISI NITROGEN MOBIL DINAS  ,30000
612408103/PEMELIHARAAN/PERBAIKAN KENDARAAAN,13/01/2023,PEMBY.VENTIL TUBLES MOTOR DINAS ,25000
612412101/BIAYA JAMUAN KANTOR,06/01/2023,JAMUAN EKSTERNAL ,75000
612412101/BIAYA JAMUAN KANTOR,06/01/2023,JAMUAN EKSTERNAL ,168000
612412101/BIAYA JAMUAN KANTOR,07/01/2023,JAMUAN INTERNAL ,50000
612412101/BIAYA JAMUAN KANTOR,09/01/2023,JAMUAN INTERNAL ,120000
612412101/BIAYA JAMUAN KANTOR,10/01/2023,JAMUAN INTERNAL ,64000
612412101/BIAYA JAMUAN KANTOR,12/01/2023,JAMUAN INTERNAL ,100000
612412101/BIAYA JAMUAN KANTOR,12/01/2023,JAMUAN EKSTERNAL (PARCEL BUAH),250000
612412101/BIAYA JAMUAN KANTOR,13/01/2023,JAMUAN INTERNAL ,350000
612412101/BIAYA JAMUAN KANTOR,14/01/2023,JAMUAN INTERNAL ,50000
612412101/BIAYA JAMUAN KANTOR,17/01/2023,JAMUAN INTERNAL ,128000
612412101/BIAYA JAMUAN KANTOR,17/01/2023,JAMUAN INTERNAL ,70000
612412101/BIAYA JAMUAN KANTOR,17/01/2023,JAMUAN EKSTERNAL,150000
612412101/BIAYA JAMUAN KANTOR,18/01/2023,JAMUAN INTERNAL ,288000
612203106/BIAYA LAYANAN PESERTA,12/01/2023,BIAYA PEMELIHARAAN STAND & KEBERSIHAN KEAMANAN GEDUNG KORPRI KAB.CIANJUR (SERVICE POINT),100000
612203106/BIAYA LAYANAN PESERTA,24/01/2023,PEMB. JAMUAN PESERTA LAYANAN (MAKANAN RINGAN),168000
612408104/BYA PEM INV KTR,11/01/2023,"PEMB. RADAR OTOMATIS POMPA AIR, LEM PIPA, DLL.",263000
612408101/BY PEM. KANTOR,16/01/2023,PEMB. TISSUE & PENGHARUM RUANGAN ,437800
612408101/BY PEM. KANTOR,17/01/2023,"PEMB. ECOFIT LAMPU, KABEL DLL",392500
612201102/BIAYA PUBLIKASI & DOKUMENTASI,18/01/2023,PEMB. SEALANT ODOL PEREKAT PYLON SIGN,54000
612201102/BIAYA PUBLIKASI & DOKUMENTASI,19/01/2023,PEMB. LAMPU BOHLAM LED UNTUK PYLON SIGN,131200
612201102/BIAYA PUBLIKASI & DOKUMENTASI,17/01/2023,PEMB. STIKER PYLON SIGN,170000
612408103/PEMELIHARAAN/PERBAIKAN KENDARAAAN,19/01/2023,"PEMB. GASKET, CHAMBER, FUEL, OIL FILTER DLL.",1113261
612408103/PEMELIHARAAN/PERBAIKAN KENDARAAAN,19/01/2023,JASA SERVICE MOBIL DINAS ,826395
612408103/PEMELIHARAAN/PERBAIKAN KENDARAAAN,24/01/2023,"PEMB. GASKET,TMO SYN, OIL FILTER DLL.",880238
612408103/PEMELIHARAAN/PERBAIKAN KENDARAAAN,24/01/2023,JASA SERVICE MOBIL DINAS  ,765900
612408103/PEMELIHARAAN/PERBAIKAN KENDARAAAN,27/01/2023,JASA PEMASANGAN  SPOORING BEARING RODA DEPAN MOBIL DINAS ,253080
"612414101/BBM,TOL,PARKIR",24/01/2023,BBM MOTOR DINAS,20000
"612414101/BBM,TOL,PARKIR",26/01/2023,BBM MOBIL DINAS,350000
"612414101/BBM,TOL,PARKIR",26/01/2023,BBM MOBIL DINAS ,400000
"612414101/BBM,TOL,PARKIR",27/01/2023,BBM MOTOR DINAS,15000
"612414101/BBM,TOL,PARKIR",28/01/2023,BBM MOBIL DINAS,300000
"612414101/BBM,TOL,PARKIR",30/01/2023,BBM MOBIL DINAS,170000
612403103/RUMAH TANGGA,24/01/2023,PEMB. ISI ULANG TABUNG GAS 12 KG ,215000
612403103/RUMAH TANGGA,24/01/2023,PEMB. ISI ULANG TABUNG GAS 12 KG ,140000
612403103/RUMAH TANGGA,27/01/2023,PEMBL. GELAS KERTAS,14000
612403103/RUMAH TANGGA,24/01/2023,PEMBL AQUA GALON AIR MINUM KARYAWAN KC BOGOR,258400
612403103/RUMAH TANGGA,30/01/2023,PEMBL AQUA GALON AIR MINUM KARYAWAN KC BOGOR,242250
612408101/BY PEM. KANTOR,24/01/2023,PEMB. ALAS POT TANAMAN GEDUNG KANTOR,62500
612408101/BY PEM. KANTOR,24/01/2023,"PEMB. HYO,STOP KONTAK & STEKER LISTRIK",232000
612408101/BY PEM. KANTOR,24/01/2023,"PEMB. POT BESAR, POT KECIL, TANAMAN HIAS DLL",520000
612408101/BY PEM. KANTOR,26/01/2023,PEMB. TANAMAN HIAS GEDUNG KANTOR,96000
612408101/BY PEM. KANTOR,31/01/2023,PEMB. BENSIN MESIN PEMOTONG RUMPUT,30000
612408101/BY PEM. KANTOR,31/01/2023,PEMB. PUPUK TANAMAN GEDUNG KANTOR,15000
612412101/BIAYA JAMUAN KANTOR,21/01/2023,JAMUAN INTERNAL,102000
612412101/BIAYA JAMUAN KANTOR,24/01/2023,JAMUAN INTERNAL,72000
612412101/BIAYA JAMUAN KANTOR,24/01/2023,JAMUAN INTERNAL,90000
612412101/BIAYA JAMUAN KANTOR,25/01/2023,JAMUAN INTERNAL ,75000
612412101/BIAYA JAMUAN KANTOR,25/01/2023,JAMUAN INTERNAL ,72000
612412101/BIAYA JAMUAN KANTOR,27/01/2023,JAMUAN EKSTERNAL,148000
612412101/BIAYA JAMUAN KANTOR,27/01/2023,JAMUAN EKSTERNAL,152000
612412101/BIAYA JAMUAN KANTOR,27/01/2023,JAMUAN EKSTERNAL,47000
612412101/BIAYA JAMUAN KANTOR,27/01/2023,JAMUAN EKSTERNAL,49000
612412101/BIAYA JAMUAN KANTOR,27/01/2023,JAMUAN EKSTERNAL,228000
612203106/BIAYA LAYANAN PESERTA,31/01/2023,"PEMB. JAMUAN PESERTA LAYANAN (KOPI, GULA, TEH)",185000
612203106/BIAYA LAYANAN PESERTA,31/01/2023,PEMB. JAMUAN PESERTA LAYANAN (MAKANAN RINGAN),76000
612203106/BIAYA LAYANAN PESERTA,31/01/2023,PEMB. JAMUAN PESERTA LAYANAN (MAKANAN RINGAN),46000
612203106/BIAYA LAYANAN PESERTA,31/01/2023,PEMB. JAMUAN PESERTA LAYANAN (MAKANAN RINGAN),80000
612203106/BIAYA LAYANAN PESERTA,31/01/2023,PEMB. JAMUAN PESERTA LAYANAN (MAKANAN RINGAN),42000
612415103/RETRIBUSI & KEBERSIHAN,02/01/2023,RETRIBUSI KEBERSIHAN WILAYAH PERKANTORAN UNIT LAYANAN DEPOK ,150000
612415103/RETRIBUSI & KEBERSIHAN,03/01/2023,RETRIBUSI KEGIATAN SOSIAL WILAYAH KALIBATA ,100000
"612414101/BBM,TOL,PARKIR",02/02/2023,E-TOLL MOBIL DINAS  ,49000
"612414101/BBM,TOL,PARKIR",,,49000
"612414101/BBM,TOL,PARKIR",30/01/2023,BBM MOTOR DINAS ,25000
"612414101/BBM,TOL,PARKIR",30/01/2023,BBM MOBIL DINAS,400000
"612414101/BBM,TOL,PARKIR",19/01/2023,BBM MOTOR DINAS ,25000
"612414101/BBM,TOL,PARKIR",03/02/2023,BBM MOBIL DINAS,300000
"612414101/BBM,TOL,PARKIR",04/02/2023,BBM MOTOR DINAS,25000
"612414101/BBM,TOL,PARKIR",06/02/2023,BBM MOBIL DINAS,100000
"612414101/BBM,TOL,PARKIR",06/02/2023,BBM MOBIL DINAS,300000
"612414101/BBM,TOL,PARKIR",06/02/2023,BBM MOBIL DINAS,500000
"612414101/BBM,TOL,PARKIR",07/02/2023,BBM MOBIL DINAS,300000
"612414101/BBM,TOL,PARKIR",08/02/2023,BBM MOBIL DINAS,300000
"612414101/BBM,TOL,PARKIR",08/02/2023,BBM MOTOR DINAS,25000
"612403101/TELPON,INTERNET,FASIMILI",01/02/2023,PULSA AO  KC BOGOR,250000
"612403101/TELPON,INTERNET,FASIMILI",01/02/2023,PULSA AO  UNIT LAYANAN DEPOK,250000
"612403101/TELPON,INTERNET,FASIMILI",31/01/2023,PEMB TOKEN LISTRIK RUMAH DINAS UNIT LAYANAN DEPOK,100000
612408102/BIAYA PEM RMH DINAS,03/02/2023,LAUNDRY BED COVER RUMAH DINAS (BARU),179250
612401102/BEBAN FOTOCOPY,01/02/2023,PEMBY. JILID LAKBAN LAPORAN KEUANGAN TJSL ,10000
612401102/BEBAN FOTOCOPY,02/02/2023,PRINT NOTA KESEPAHAMAN KPPN KOTA BOGOR,35000
612401102/BEBAN FOTOCOPY,08/02/2023,JILID & LAMINATING LAPORAN NERACA SALDO UNIT LAY.DEPOK DAN KC BOGOR ,61000
612401102/BEBAN FOTOCOPY,09/02/2023,JILID & LAMINATING PERMOHONAN RESCHEDULE TJSL,15000
612412101/BIAYA JAMUAN KANTOR,31/01/2023,JAMUAN EKSTERNAL (PARCEL BUAH),150000
612412101/BIAYA JAMUAN KANTOR,24/01/2023,JAMUAN INTERNAL,50000
612412101/BIAYA JAMUAN KANTOR,01/02/2023,JAMUAN INTERNAL,56000
612412101/BIAYA JAMUAN KANTOR,03/02/2023,JAMUAN INTERNAL,600000
612412101/BIAYA JAMUAN KANTOR,03/02/2023,JAMUAN INTERNAL,550000
612412101/BIAYA JAMUAN KANTOR,04/02/2023,JAMUAN INTERNAL,30000
612412101/BIAYA JAMUAN KANTOR,07/02/2023,JAMUAN INTERNAL (7 PAKET PARCEL BUAH),1050000
612412101/BIAYA JAMUAN KANTOR,09/02/2023,JAMUAN INTERNAL (AIR MINERAL),50000
612412101/BIAYA JAMUAN KANTOR,09/02/2023,JAMUAN INTERNAL (POCARI SWEAT),132500
612201101/BEBAN PROM SOSIALISASI,02/01/2023,JAMUAN SOSIALISASI ASN BKD KOTA DEPOK TGL 02/02/2023,750000
612201101/BEBAN PROM SOSIALISASI,07/02/2023,JAMUAN SOSIALISASI RSUD KHIDMAD SEHAT AFIAT TGL 08/02/2023,800000
612412101/BIAYA JAMUAN KANTOR,03/02/2023,JAMUAN INTERNAL,135000
612412101/BIAYA JAMUAN KANTOR,09/02/2023,JAMUAN INTERNAL,182000
612412101/BIAYA JAMUAN KANTOR,14/02/2023,JAMUAN EKSTERNAL ,149000
612412101/BIAYA JAMUAN KANTOR,14/02/2023,JAMUAN EKSTERNAL ,197500
612412101/BIAYA JAMUAN KANTOR,14/02/2023,JAMUAN EKSTERNAL ,152000
612412101/BIAYA JAMUAN KANTOR,16/02/2023,JAMUAN EKSTERNAL ,84000
612412101/BIAYA JAMUAN KANTOR,16/02/2023,JAMUAN EKSTERNAL ,84000
612412101/BIAYA JAMUAN KANTOR,16/02/2023,JAMUAN EKSTERNAL ,75000
612412101/BIAYA JAMUAN KANTOR,16/02/2023,JAMUAN EKSTERNAL ,821436
612412101/BIAYA JAMUAN KANTOR,16/02/2023,JAMUAN EKSTERNAL ,78000
612412101/BIAYA JAMUAN KANTOR,16/02/2023,JAMUAN EKSTERNAL ,78000
612412101/BIAYA JAMUAN KANTOR,18/02/2023,JAMUAN INTERNAL,162000
"612403101/TELPON,INTERNET,FASIMILI",10/02/2023,PEMBY. PDAM KC BOGOR ,217400
"612403101/TELPON,INTERNET,FASIMILI",10/02/2023,PEMBY. PDAM UNIT DEPOK ,90500
612203106/BIAYA LAYANAN PESERTA,10/02/2023,PEMB. JAMUAN LAYANAN PESERTA (PERMEN),90000
612203106/BIAYA LAYANAN PESERTA,13/02/2023,PEMB. JAMUAN LAYANAN PESERTA (AIR MINERAL),210000
612402101/BIAYA PENGIRIMAN,09/02/2023,SEWA MOBIL PICKUP PEMINDAHAN KULKAS UNIT DEPOK KE KC BOGOR,300000
"612403101/TELEPON/INTERNET/FAKSIMILI,AIR,LISTRIK&GAS",08/03/2023,PEMB. PULSA AO UNIT DEPOK & KC BOGOR ,500000
612408104/BYA PEM INV KTR,29/02/2023,"PERBAIKAN, JET PUMP SANYO ",125000
612408103/BYA PEM KDRN,27/02/2023,PEMBY. TAMBAL BAN MOTOR DINAS ,30000
"612414101/BBM,TOL,PARKIR",10/02/2023,PEMB. BBM MOTOR DINAS ,25000
"612414101/BBM,TOL,PARKIR",21/02/2023,PEMB. BBM MOTOR DINAS ,25000
612201102/BIAYA PUBLIKASI & DOKUMENTASI,06/03/2023,PEMBY. CETAK BANNER INFORMASI LAYANAN TASPEN,220000
612401102/BEBAN FOTOCOPY,28/02/2023,JILID & LAMINATING LAPORAN KEUANGAN TJSL & LAPORAN PEMUSNAHAN DOSIR,62000
612412101/BIAYA JAMUAN KANTOR,20/02/2023,JAMUAN INTERNAL ,70000
612412101/BIAYA JAMUAN KANTOR,20/02/2023,JAMUAN INTERNAL ,63000
612412101/BIAYA JAMUAN KANTOR,22/02/2023,JAMUAN INTERNAL ,55000
612412101/BIAYA JAMUAN KANTOR,23/02/2023,JAMUAN INTERNAL ,50000
612412101/BIAYA JAMUAN KANTOR,24/02/2023,JAMUAN INTERNAL ,123000
612412101/BIAYA JAMUAN KANTOR,28/02/2023,JAMUAN INTERNAL ,106000
612412101/BIAYA JAMUAN KANTOR,07/03/2023,JAMUAN INTERNAL ,91000
612203106/BIAYA LAYANAN PESERTA,07/03/2023,PEMB. JAMUAN PESERTA LAYANAN (SNACK),129500
612203106/BIAYA LAYANAN PESERTA,07/03/2023,PEMB. JAMUAN PESERTA LAYANAN (PERMEN),103500
612415103/RETRIBUSI & KEBERSIHAN,03/01/2023,RETRIBUSI KEGIATAN SOSIAL WILAYAH KALIBATA,100000
612415103/RETRIBUSI & KEBERSIHAN,04/01/2023,RETRIBUSI KEBERSIHAN RUMAH DINAS KC BOGOR ,300000
612415103/RETRIBUSI & KEBERSIHAN,25/01/2023,RETRIBUSI KEBERSIHAN KANTOR KC BOGOR ,300000
612415103/RETRIBUSI & KEBERSIHAN,01/02/2023,RETRIBUSI KEGIATAN SOSIAL WILAYAH KALIBATA ,100000
612415103/RETRIBUSI & KEBERSIHAN,01/02/2023,RETRIBUSI KEBERSIHAN WILAYAH PERKANTORAN UNIT LAYANAN DEPOK ,150000
612415103/RETRIBUSI & KEBERSIHAN,06/02/2023,RETRIBUSI KEBERSIHAN RUMAH DINAS KC BOGOR ,300000
612415103/RETRIBUSI & KEBERSIHAN,06/02/2023,RETRIBUSI KEBERSIHAN RUMAH DINAS KC BOGOR ,300000
612415103/RETRIBUSI & KEBERSIHAN,21/02/2023,RETRIBUSI KEBERSIHAN KANTOR KC BOGOR ,300000
612415103/RETRIBUSI & KEBERSIHAN,01/03/2023,RETRIBUSI KEGIATAN SOSIAL WILAYAH KALIBATA ,100000
612408101/BY PEM. KANTOR,31/01/2023,PEMB. GOLOK & GUNTING RUMPUT UNIT LAYANAN DEPOK,139000
612408101/BY PEM. KANTOR,09/02/2023,PEMB. KACA RIBEN UNTUK PINTU KACA LANTAI 1,350000
612408101/BY PEM. KANTOR,13/02/2023,PEMB. KUNCI PINTU UNTUK RUANG DOSIR PENSIUN,313700
612408101/BY PEM. KANTOR,16/02/2023,"PEMB. RING BAUT , SEALANT TUBE DLL. ROOFTOP LT.2",80000
612408101/BY PEM. KANTOR,21/02/2023,PEMB. STIKER UNTUK KACA TOILET LANTAI 2,180000
612408101/BY PEM. KANTOR,28/02/2023,PEMB. BENSIN MESIN PEMOTONG RUMPUT,30000
612408101/BY PEM. KANTOR,28/02/2023,PEMB. LAMPU LED UNTUK RUANGAN BM,168280
612408101/BY PEM. KANTOR,28/02/2023,PEMB. LAMPU LED DAN SAMBUNGAN RUANGAN LANTAI 2,120000
612408101/BY PEM. KANTOR,06/03/2023,PEMB. FITTING SAMBUNGAN LAMPU ,30000
612408101/BY PEM. KANTOR,07/03/2023,PEMB. FITTING SAMBUNGAN LAMPU ,50000
612408101/BY PEM. KANTOR,13/02/2023,PEMB. CAIRAN PEMBERSIH LANTAI & SABUN CUCI TANGAN,335000
612408101/BY PEM. KANTOR,13/02/2023,PEMB. PENGHARUM RUANGAN ,150000
"612414101/BBM,TOL,PARKIR",03/02/2023,PEMB. E - TOLL MOBIL DINAS  ,42000
"612414101/BBM,TOL,PARKIR",01/03/2023,PEMB. E - TOLL MOBIL DINAS  ,7000
"612414101/BBM,TOL,PARKIR",03/03/2023,PEMB. E - TOLL MOBIL DINAS  ,39000
"612414101/BBM,TOL,PARKIR",03/03/2023,PEMB. E - TOLL MOBIL DINAS  ,7000
"612414101/BBM,TOL,PARKIR",07/03/2023,PEMB. E - TOLL MOBIL DINAS  ,35000
"612414101/BBM,TOL,PARKIR",08/03/2023,PEMB. E- TOLL & PARKIR MOBIL DINAS,32000
"612414101/BBM,TOL,PARKIR",14/03/2023,PEMB. E- TOLL MOBIL DIANS ,59000
"612414101/BBM,TOL,PARKIR",20/02/2023,PEMB. BBM MOBIL DINAS,200000
"612414101/BBM,TOL,PARKIR",22/02/2023,PEMB. BBM MOBIL DINAS,400000
"612414101/BBM,TOL,PARKIR",27/02/2023,PEMB. BBM MOBIL DINAS ,400000
"612414101/BBM,TOL,PARKIR",28/02/2023,PEMB. BBM MOBIL DINAS,500000
"612414101/BBM,TOL,PARKIR",28/02/2023,PEMB. BBM MOBIL DINAS,250000
"612414101/BBM,TOL,PARKIR",03/03/2023,PEMB. BBM MOBIL DINAS,350000
"612414101/BBM,TOL,PARKIR",06/03/2023,PEMB. BBM MOBIL DINAS ,300000
"612414101/BBM,TOL,PARKIR",06/03/2023,PEMB. BBM MOBIL DINAS,200000
"612414101/BBM,TOL,PARKIR",07/03/2023,PEMB. BBM MOBIL DINAS,400000
"612414101/BBM,TOL,PARKIR",08/03/2023,PEMB. BBM MOBIL DINAS,300000
"612414101/BBM,TOL,PARKIR",01/03/2023,PEMB. BBM MOTOR DINAS,20000
"612414101/BBM,TOL,PARKIR",09/03/2023,PEMB. BBM MOBIL DINAS,200000
"612414101/BBM,TOL,PARKIR",09/03/2023,PEMB. BBM MOTOR DINAS,30000
"612414101/BBM,TOL,PARKIR",10/03/2023,PEMB. BBM MOBIL DINAS ,400000
"612414101/BBM,TOL,PARKIR",10/03/2023,PEMB. BBM MOBIL DINAS,400000
"612414101/BBM,TOL,PARKIR",14/03/2023,PEMB. BBM MOBIL DINAS ,250000
"612414101/BBM,TOL,PARKIR",14/03/2023,PEMB. BBM MOBIL DINAS,300000
"612414101/BBM,TOL,PARKIR",14/03/2023,PEMB. BBM MOBIL DINAS,400000
"612414101/BBM,TOL,PARKIR",14/03/2023,PEMB. BBM MOTOR DINAS,39926
"612414101/BBM,TOL,PARKIR",15/03/2023,PEMB. BBM MOBIL DINAS ,300000
612403103/RUMAH TANGGA,31/01/2023,PEMBL AQUA GALON AIR MINUM KARYAWAN UNIT DEPOK,456000
612403103/RUMAH TANGGA,07/02/2023,PEMBL AQUA GALON AIR MINUM KARYAWAN KC BOGOR,289000
612403103/RUMAH TANGGA,24/02/2023,PEMBL AQUA GALON AIR MINUM KARYAWAN KC BOGOR,272000
612403103/RUMAH TANGGA,07/03/2023,PEMBL AQUA GALON AIR MINUM KARYAWAN KC BOGOR,289000
612403103/RUMAH TANGGA,15/03/2023,PEMBL AQUA GALON AIR MINUM KARYAWAN KC BOGOR,272000
612403103/RUMAH TANGGA,09/02/2023,"PEMB. KOMPRES AIR DINGIN, COUNTERPAIN & KOTAK P3K",213184
612203106/BIAYA LAYANAN PESERTA,13/03/2023,PEMB. JAMUAN PESERTA DI RUANG LAYANAN (AIR MINERAL),210000
612201102/PUBLIKASI & DOKUMENTASI,09/03/2023,BANNER & STEAROFOAM SIMBOLIS PENYERAHAN TJSL,70000
612408104/PEM.PERBAIKAN INV.KANTOR,14/03/2023,PEMB. AUTO SWITCH PRINTER,100000
612408102/BIAYA PEM RMH DINAS,13/03/2023,LAUNDRY BED COVER RUMAH DINAS (BARU),50000
612412101/BIAYA JAMUAN KANTOR,13/03/2023,JAMUAN INTERNAL ,60000
612403103/RUMAH TANGGA,03/02/2023,PEMB. BANTAL.GULING UNTUK DI RUMAH DINAS,1596000
612403103/RUMAH TANGGA,03/02/2023,PEMB. SET CANGKIR,199200
612403103/RUMAH TANGGA,03/02/2023,PEMB. BED COVER & HANDUK UNTUK DI RUMAH DINAS,1037000
612403103/RUMAH TANGGA,03/02/2023,PEMB. ASBAK PUNTUNG ROKOK,26000
612403103/RUMAH TANGGA,04/02/2023,"PEMB. SAPU TANGAN, SABUT SPONGE, SERBET DLL. UNTUK DAPUR  RUMAH DINAS",62000
612403103/RUMAH TANGGA,04/02/2023,"PEMB. KERANJANG , NAMPAN, SET PISAU DLL. UNTUK DAPUR RUMAH DINAS",744000
612403103/RUMAH TANGGA,04/02/2023,PEMB. PELINDUNG KASUR UNTUK KAMAR RUMAH DINAS,423200
612403103/RUMAH TANGGA,06/02/2023,PEMB. GELAS KERTAS,88000
612403103/RUMAH TANGGA,01/02/2023,PEMB. TEH,21000
612403103/RUMAH TANGGA,07/02/2023,PEMB. GULA,90400
612403103/RUMAH TANGGA,08/02/2023,PEMB. STEMPEL KANTOR CABANG & STEMPEL LUNAS,110000
612403103/RUMAH TANGGA,09/02/2023,PEMB. TEKO LISTRIK UNTUK DI RUMAH DINAS,125000
612403103/RUMAH TANGGA,18/02/2023,PEMB. TALI TAMBANG,15000
612403103/RUMAH TANGGA,24/02/2023,PEMB. PIRING PLASTIK & SENDOK PLASTIK,34000
612403103/RUMAH TANGGA,25/02/2023,PEMB. KARTU NAMA BRANCH MANAGER & MANAGER LAYANAN,80000
612403103/RUMAH TANGGA,07/03/2023,PEMB. GELAS KERTAS,72000
612403103/RUMAH TANGGA,09/03/2023,PEMB. BEDDING SET (RUMAH DINAS),599000
612403103/RUMAH TANGGA,13/03/2023,PEMB. BATERAI A3,40500
612408103/PEMELIHARAAN/PERBAIKAN KENDARAAAN,10/04/2023,"PEMB. GASKET,GLOBAL OIG BRAKE, CHAMBER, CLEAN, KENJIRO DLL. MOBIL DINAS  ",1146427
612408103/PEMELIHARAAN/PERBAIKAN KENDARAAAN,10/04/2023,JASA SERVICE MOBIL DINAS  ,1434120
"612414101/BBM,TOL,PARKIR",29/03/2023,PEMBY. E-TOLL MOBIL DINAS,22000
"612414101/BBM,TOL,PARKIR",04/04/2023,PEMBY. PARKIR MOBIL DINAS ,8000
"612414101/BBM,TOL,PARKIR",04/04/2023,BBM MOBIL DINAS,300000
"612414101/BBM,TOL,PARKIR",04/04/2023,BBM MOBIL DINAS ,200000
"612414101/BBM,TOL,PARKIR",04/04/2023,BBM MOBIL DINAS,300000
"612414101/BBM,TOL,PARKIR",06/04/2023,BBM MOBIL DINAS ,400000
"612414101/BBM,TOL,PARKIR",10/04/2023,BBM MOTOR DINAS,20000
612403103/RUMAH TANGGA,27/03/2023,PEMB. BINGKAI FOTO BRANCH MANAGER,100000
612403103/RUMAH TANGGA,28/03/2023,PEMB. AIR MINERAL RUANG BRANCH MANAGER,38500
612403103/RUMAH TANGGA,29/03/2023,PRINT FOTO BRANCH MANAGER,25000
612403103/RUMAH TANGGA,30/03/2023,PEMB. GELAS KERTAS ,36000
612403103/RUMAH TANGGA,03/04/2023,PEMB. AQUA GALON AIR MINUM KARYAWAN,289000
612412101/BIAYA JAMUAN KANTOR,31/03/2023,JAMUAN INTERNAL ,100000
612412101/BIAYA JAMUAN KANTOR,31/03/2023,JAMUAN INTERNAL ,400000
612412101/BIAYA JAMUAN KANTOR,31/03/2023,JAMUAN INTERNAL ,50000
612412101/BIAYA JAMUAN KANTOR,04/04/2023,JAMUAN INTERNAL ,147000
612412101/BIAYA JAMUAN KANTOR,04/04/2023,JAMUAN INTERNAL ,300000
612202101/BEBAN REPRESENTASI,29/03/2023,JAMUAN EKSTERNAL (BKPSDM KOTA BOGOR),356100
612408103/PEMELIHARAAN/PERBAIKAN KENDARAAAN,05/04/2023,PEMB. TAMBAL BAN MOBIL DINAS  ,30000
"612403101/TELEPON/INTERNET/FAKSIMILI,AIR,LISTRIK&GAS",03/04/2023,PEMB. PULSA AO UNIT DEPOK & KC BOGOR,500000
612415103/RETRIBUSI & KEBERSIHAN,01/04/2023,RETRIBUSI KEBERSIHAN WILAYAH PERKANTORAN UNIT LAYANAN DEPOK BULANAPRIL 2023,150000
612415103/RETRIBUSI & KEBERSIHAN,04/04/2023,RETRIBUSI KEBERSIHAN KANTOR KC BOGOR ,300000
612415103/RETRIBUSI & KEBERSIHAN,05/04/2023,RETRIBUSI KEGIATAN SOSIAL WILAYAH KALIBATA ,100000
612415103/RETRIBUSI & KEBERSIHAN,05/04/2023,RETRIBUSI KEBERSIHAN RUMAH DINAS KC BOGOR ,350000
612408101/BY PEM. KANTOR,20/03/2023,PEMB. LAMPU BOHLAM UNTUK RUANGAN MANAGER KEUANGAN,30000
612201102/PUBLIKASI & DOKUMENTASI,20/03/2023,PEMB. BANNER & STEAROFOAM SIMBOLIS PENYERAHAN TJSL,70000
612201102/PUBLIKASI & DOKUMENTASI,04/04/2023,PEMB. BANNER & STEAROFOAM SIMBOLIS PENYERAHAN TJSL,35000
612401102/BEBAN FOTOCOPY,20/03/2023,PEMB. JILID & LAMINATING LAPORAN KEUANGAN KC BOGOR & UNIT LAY.DEPOK ,67000
612401102/BEBAN FOTOCOPY,24/03/2023,PEMB. JILID & LAMINATING LAPORAN ,18000
612401102/BEBAN FOTOCOPY,24/03/2023,PEMB. JILID & LAMINATING PKS DENGAN RUMAH SAKIT VANIA,18000
612401102/BEBAN FOTOCOPY,24/03/2023,PRINT PENGUMUMAN JAM OPERASIOAL BULAN RAMADHAN KANTOR CABANG,60000
612401102/BEBAN FOTOCOPY,27/03/2023,PEMB. JILID & LAMINATING REKAP ABSENSI KARYAWAN ,10000
612401102/BEBAN FOTOCOPY,03/04/2023,PEMB. JILID & LAMINATING LAPORAN KEUANGAN KC BOGOR & UNIT LAY.DEPOK ,54000
"612414101/BBM,TOL,PARKIR",06/04/2023,BBM MOTOR DINAS,20000
"612414101/BBM,TOL,PARKIR",07/04/2023,BBM MOTOR DINAS,20000
"612414101/BBM,TOL,PARKIR",11/04/2023,BBM MOBIL DINAS,200000
"612414101/BBM,TOL,PARKIR",12/04/2023,BBM MOBIL DINAS,300000
"612414101/BBM,TOL,PARKIR",14/04/2023,BBM MOBIL DINAS,200000
"612414101/BBM,TOL,PARKIR",14/04/2023,BBM MOBIL DINAS,400000
"612414101/BBM,TOL,PARKIR",11/04/2023,E- TOLL MOBIL DINAS  ,22000
"612414101/BBM,TOL,PARKIR",12/04/2023,E- TOLL MOBIL DINAS  ,35000
